
ticker
VOLV-B.ST
ABB.ST
ERIC-B.ST
SAND.ST
SKF-B.ST
SSAB-A.ST
SSAB-B.ST
ATCO-A.ST
ATCO-B.ST
SEB-A.ST
SHB-A.ST
SWED-A.ST
HM-B.ST
NDA-SE.ST
ALFA.ST
EPI-A.ST
EPI-B.ST
ASSA-B.ST
AZN.ST
TELIA.ST
TEL2-B.ST
KINV-B.ST
SINCH.ST
NIBE-B.ST
BOL.ST
SKA-B.ST
PEAB-B.ST
JM.ST
ELUX-B.ST
ESSITY-B.ST
SCA-B.ST
HOLM-B.ST
STERV.ST
AAPL
MSFT
NVDA
GOOGL
GOOG
AMZN
META
TSLA
NFLX
AMD
INTC
CRM
ADBE
ORCL
IBM
QCOM
TXN
AVGO
CSCO
SHOP
PYPL
SQ
UBER
LYFT
NOW
SNOW
PLTR
COIN
ROKU
JPM
BAC
GS
MS
C
WFC
V
MA
BLK
AXP
SPGI
DE
CAT
BA
HON
GE
RTX
MMM
LMT
JNJ
PFE
MRK
ABBV
TMO
DHR
BMY
AMGN
CVS
KO
PEP
MCD
SBUX
NKE
PG
COST
WMT
HD
LOW
XOM
CVX
SLB
COP
SPY
QQQ
VTI
ARKK
IWM


